IDs,DIOs,DISs,DAOs,Precv,Pforw,Pdrop,Psent,Network,OF,Attack
1,757,13,48,927,926,4,1098.0,Static,OF0,0
20,761,3,299,480,478,5,549.0,Static,OF0,0
21,258,35,353,1594,1565,3,1601.0,Mobile,OF0,0
4,526,31,302,1116,1062,9,1305.0,Mobile,OF0,0
2,706,16,395,1771,1769,6,1862.0,Static,OF0,0
3,297,44,320,1756,1727,4,1839.0,Mobile,MRHOF,0
7,210,16,459,1673,1532,3,1823.0,Mobile,OF0,0
8,498,11,322,1303,1249,5,1465.0,Mobile,MRHOF,0
6,150,42,11,1362,1314,9,1527.0,Static,OF0,0
7,719,14,133,1190,1111,6,1369.0,Static,OF0,0
11,627,27,129,1030,949,3,1039.0,Static,MRHOF,0
9,338,36,94,1905,1841,5,2029.0,Static,MRHOF,0
10,74,13,116,581,574,4,776.0,Static,MRHOF,0
11,61,32,127,1731,1640,3,1876.0,Mobile,MRHOF,0
12,92,2,59,762,732,2,766.0,Static,OF0,0
13,431,11,177,1376,1321,8,1458.0,Mobile,MRHOF,0
14,239,46,370,362,347,0,365.0,Static,MRHOF,0
6,408,29,307,519,482,6,696.0,Mobile,MRHOF,0
16,532,7,154,191,178,6,276.0,Mobile,MRHOF,0
17,780,21,245,841,763,4,978.0,Static,OF0,0
9,114,13,212,341,321,4,422.0,Mobile,MRHOF,0
10,546,11,190,407,382,3,440.0,Mobile,OF0,0
20,276,41,220,1559,1518,4,1600.0,Mobile,OF0,0
12,169,9,424,228,227,0,237.0,Static,OF0,0
1,333,11,246,901,894,5,1100.0,Mobile,OF0,0
2,222,19,68,1539,1453,4,,Static,OF0,0
3,434,45,434,507,473,7,523.0,Static,MRHOF,0
4,415,36,138,535,521,2,669.0,Static,OF0,0
5,310,5,349,1475,1468,9,1512.0,Static,MRHOF,0
6,272,8,255,459,435,8,652.0,Mobile,OF0,0
7,431,4,77,1740,1572,8,1861.0,Static,MRHOF,0
8,198,36,139,1982,1981,5,1994.0,Static,OF0,0
9,337,34,10,621,607,0,788.0,Static,OF0,0
10,173,25,113,889,860,3,1060.0,Static,MRHOF,0
11,171,32,221,1754,1716,0,1765.0,Mobile,MRHOF,0
12,710,8,301,1483,1349,6,1568.0,Mobile,MRHOF,0
13,515,2,28,312,298,3,338.0,Static,OF0,0
2,137,44,460,377,341,0,560.0,Static,MRHOF,0
3,462,30,294,207,193,8,334.0,Mobile,MRHOF,0
16,705,8,128,1999,1995,2,2191.0,Mobile,OF0,0
17,540,25,9,1528,1401,6,1682.0,Static,OF0,0
6,549,36,85,333,308,9,386.0,Mobile,MRHOF,0
7,467,20,74,1878,1809,7,1978.0,Mobile,OF0,0
20,69,10,23,1113,1015,9,1149.0,Static,MRHOF,0
9,454,10,37,1041,1038,8,1213.0,Mobile,OF0,0
1,270,14,2,1851,1772,9,1905.0,Static,MRHOF,0
2,211,30,81,258,240,0,320.0,Mobile,OF0,0
12,125,30,313,1097,1067,3,1288.0,Mobile,OF0,0
4,232,49,182,580,563,3,692.0,Static,OF0,0
2,167,45,160,500,495,3,647.0,Static,MRHOF,0
6,608,14,123,174,168,8,263.0,Static,MRHOF,0
4,187,3,460,1742,1630,5,1939.0,Static,OF0,0
5,475,35,301,1021,953,4,1069.0,Static,MRHOF,0
9,631,26,259,737,699,1,899.0,Mobile,MRHOF,0
10,231,46,315,1487,1431,3,1638.0,Static,OF0,0
11,667,30,341,1343,1330,7,1480.0,Static,OF0,0
12,778,13,69,1679,1607,3,,Mobile,MRHOF,0
10,490,21,195,789,757,6,858.0,Mobile,OF0,0
14,252,20,471,1778,1603,6,1926.0,Mobile,OF0,0
15,191,37,313,120,119,4,250.0,Mobile,OF0,0
1,420,25,340,483,472,8,671.0,Static,OF0,0
17,539,7,85,1114,1082,0,1265.0,Mobile,MRHOF,0
18,92,41,422,1721,1705,1,1918.0,Mobile,OF0,0
19,566,2,21,1235,1179,1,1308.0,Mobile,MRHOF,0
5,728,22,75,443,404,5,630.0,Mobile,MRHOF,0
6,610,32,390,376,357,9,502.0,Static,OF0,0
7,425,40,212,178,165,8,345.0,Mobile,OF0,0
8,115,25,247,1377,1247,7,1420.0,Mobile,MRHOF,0
3,728,23,88,478,436,2,674.0,Mobile,MRHOF,0
4,57,24,475,1420,1336,7,1474.0,Mobile,OF0,0
5,153,18,41,927,844,5,938.0,Static,OF0,0
12,308,27,113,1998,1959,5,2158.0,Mobile,MRHOF,0
7,662,32,379,787,784,5,896.0,Static,OF0,0
8,65,1,62,1232,1114,4,1252.0,Mobile,MRHOF,0
9,151,31,58,346,320,4,370.0,Mobile,OF0,0
10,715,5,226,800,792,3,977.0,Mobile,MRHOF,0
5,444,2,430,1487,1380,8,1617.0,Mobile,OF0,0
12,326,28,247,1341,1308,8,1391.0,Mobile,OF0,0
7,328,48,383,1785,1769,4,1892.0,Mobile,MRHOF,0
8,338,20,380,371,338,1,,Static,MRHOF,0
15,250,20,123,100,93,6,186.0,Static,MRHOF,0
16,192,21,226,1436,1320,4,1481.0,Static,OF0,0
11,600,9,354,1887,1811,1,2001.0,Mobile,OF0,0
12,492,27,353,987,942,5,1128.0,Static,MRHOF,0
1,708,30,333,1630,1547,0,1654.0,Mobile,OF0,0
20,776,22,431,182,169,2,312.0,Mobile,OF0,0
21,222,7,205,1186,1114,6,1306.0,Static,OF0,0
1,169,38,436,1952,1789,7,,Static,OF0,0
2,138,14,202,920,862,8,1115.0,Static,OF0,0
3,686,46,85,1755,1629,6,1770.0,Mobile,OF0,0
4,317,35,266,1699,1650,4,1847.0,Static,OF0,0
8,733,33,200,1568,1432,3,1602.0,Mobile,MRHOF,0
9,57,45,342,1554,1479,5,1629.0,Mobile,OF0,0
10,75,29,405,331,311,2,368.0,Static,MRHOF,0
8,504,28,27,871,850,2,956.0,Static,MRHOF,0
12,410,1,71,1210,1173,5,,Mobile,OF0,0
10,779,27,135,1590,1467,9,1782.0,Static,OF0,0
2,473,14,290,1555,1472,7,1731.0,Static,MRHOF,0
12,239,8,42,503,471,9,541.0,Mobile,MRHOF,0
13,667,43,309,481,441,8,568.0,Static,OF0,0
14,620,39,182,1164,1126,2,1302.0,Static,MRHOF,0
6,217,44,18,1455,1384,7,1643.0,Mobile,MRHOF,0
16,350,26,102,1087,1019,7,1239.0,Mobile,MRHOF,0
8,480,23,176,1810,1727,1,1955.0,Static,OF0,0
9,469,18,484,1782,1627,7,1865.0,Mobile,MRHOF,0
10,704,41,422,1893,1865,8,2086.0,Mobile,OF0,0
20,259,9,376,1674,1647,2,1757.0,Static,OF0,0
12,727,3,399,1473,1434,1,1553.0,Static,OF0,0
1,360,45,462,1085,985,4,1146.0,Mobile,MRHOF,0
2,457,38,283,376,359,3,474.0,Static,MRHOF,0
3,683,30,187,1487,1390,2,1681.0,Static,MRHOF,0
4,72,40,74,659,628,9,,Static,MRHOF,0
5,728,34,439,1791,1627,6,,Mobile,MRHOF,0
6,197,19,156,1325,1200,0,1437.0,Static,MRHOF,0
7,737,12,485,932,902,3,1044.0,Static,OF0,0
8,393,3,74,656,653,9,810.0,Static,OF0,0
9,283,6,314,224,210,4,253.0,Static,OF0,0
10,219,37,34,1210,1205,3,1227.0,Mobile,MRHOF,0
11,108,47,125,1623,1479,5,1690.0,Static,MRHOF,0
12,723,45,341,920,834,2,1050.0,Static,MRHOF,0
1,546,21,429,482,439,4,525.0,Mobile,MRHOF,0
2,653,24,124,582,570,1,720.0,Mobile,MRHOF,0
3,153,22,248,1787,1769,4,1871.0,Static,MRHOF,0
4,213,19,63,1214,1098,1,1224.0,Static,MRHOF,0
17,710,11,486,575,571,0,758.0,Static,OF0,0
18,631,17,370,246,231,3,341.0,Mobile,OF0,0
19,151,11,416,1339,1258,2,1513.0,Static,OF0,0
8,212,48,328,1963,1848,0,2043.0,Mobile,MRHOF,0
9,624,38,322,542,538,6,655.0,Mobile,OF0,0
10,615,10,297,419,399,1,587.0,Static,OF0,0
11,783,47,162,118,117,7,143.0,Mobile,OF0,0
12,628,1,291,124,120,0,266.0,Static,OF0,0
1,237,9,126,356,322,1,546.0,Mobile,OF0,0
5,433,4,413,1481,1407,2,1552.0,Static,OF0,0
3,339,45,60,182,177,1,349.0,Mobile,MRHOF,0
7,705,38,187,421,420,9,433.0,Mobile,OF0,0
8,344,3,391,1338,1219,6,,Static,OF0,0
6,370,17,232,1793,1781,4,1939.0,Static,MRHOF,0
10,80,17,182,1146,1115,9,1155.0,Static,MRHOF,0
11,209,14,177,511,466,3,563.0,Mobile,OF0,0
9,309,13,58,1594,1587,1,1605.0,Mobile,OF0,0
13,403,11,360,1839,1791,8,,Mobile,OF0,0
14,258,23,87,917,910,8,1050.0,Mobile,OF0,0
12,717,11,120,676,658,8,830.0,Static,OF0,0
16,190,19,176,297,282,7,475.0,Mobile,OF0,0
17,778,10,174,122,118,4,134.0,Mobile,MRHOF,0
3,501,47,280,1729,1709,3,1868.0,Mobile,OF0,0
19,353,39,27,1123,1083,2,1169.0,Static,MRHOF,0
5,285,41,379,1578,1566,1,1718.0,Mobile,OF0,0
6,378,38,458,1945,1762,5,2044.0,Mobile,OF0,0
1,777,8,262,1927,1910,2,1954.0,Static,MRHOF,0
2,537,1,355,1656,1644,8,1704.0,Mobile,MRHOF,0
3,102,10,45,1648,1547,7,,Mobile,MRHOF,0
4,724,25,386,210,205,0,221.0,Mobile,OF0,0
11,458,36,377,1311,1222,5,1375.0,Mobile,MRHOF,0
12,514,40,91,797,722,5,977.0,Mobile,OF0,0
1,723,37,133,1514,1482,6,1699.0,Static,OF0,0
8,577,16,42,472,437,6,582.0,Static,OF0,0
9,274,23,216,1627,1583,5,1685.0,Mobile,MRHOF,0
4,206,34,225,511,499,6,682.0,Static,MRHOF,0
5,680,5,311,707,658,5,723.0,Mobile,OF0,0
12,490,26,24,1517,1473,2,1527.0,Mobile,MRHOF,0
13,461,11,490,1956,1908,3,2057.0,Mobile,OF0,0
8,208,41,173,1365,1340,0,,Mobile,MRHOF,0
9,297,33,433,521,495,1,535.0,Mobile,MRHOF,0
16,502,6,293,1697,1612,1,1774.0,Mobile,MRHOF,0
17,52,30,5,1216,1209,0,1290.0,Static,MRHOF,0
18,541,6,168,371,368,2,418.0,Static,MRHOF,0
19,381,11,356,1724,1707,2,1778.0,Static,OF0,0
20,309,44,370,896,838,1,912.0,Mobile,OF0,0
21,296,8,140,461,454,3,554.0,Static,OF0,0
4,645,24,241,1977,1885,5,,Static,MRHOF,0
5,561,28,425,1378,1275,1,1432.0,Mobile,OF0,0
6,204,29,450,1999,1859,9,2007.0,Static,OF0,0
4,548,1,159,700,634,3,847.0,Static,MRHOF,0
8,408,27,345,817,801,1,989.0,Static,MRHOF,0
9,131,4,448,213,213,9,366.0,Mobile,MRHOF,0
7,364,11,40,204,200,9,396.0,Mobile,MRHOF,0
11,782,4,196,1379,1324,2,1527.0,Mobile,OF0,0
12,158,7,302,426,401,7,558.0,Mobile,MRHOF,0
10,133,15,241,727,720,8,838.0,Mobile,MRHOF,0
11,543,27,323,370,336,4,498.0,Static,OF0,0
12,238,36,481,1659,1636,9,1662.0,Mobile,MRHOF,0
4,230,23,364,680,628,8,736.0,Static,MRHOF,0
14,406,10,167,490,452,5,574.0,Mobile,OF0,0
6,391,47,451,943,906,2,1106.0,Static,OF0,0
7,355,30,189,968,944,2,1152.0,Static,MRHOF,0
17,789,39,15,603,582,4,656.0,Static,MRHOF,0
9,251,32,442,261,253,0,399.0,Static,OF0,0
10,609,47,152,1758,1610,4,1859.0,Mobile,MRHOF,0
11,130,41,382,1211,1146,7,1225.0,Static,MRHOF,0
12,456,39,125,412,396,1,580.0,Static,OF0,0
1,389,3,336,1698,1650,6,1889.0,Static,OF0,0
2,149,32,351,1251,1184,1,,Static,OF0,0
3,127,33,269,773,713,6,904.0,Mobile,MRHOF,0
4,217,19,192,1576,1550,5,1588.0,Static,MRHOF,0
5,765,16,378,1678,1590,3,1772.0,Mobile,MRHOF,0
6,71,37,327,618,605,7,736.0,Static,OF0,0
7,228,18,499,563,556,0,,Mobile,MRHOF,0
8,332,12,400,1001,905,4,1057.0,Static,MRHOF,0
9,108,33,317,149,141,2,345.0,Static,OF0,0
10,501,33,140,1207,1154,6,1285.0,Mobile,MRHOF,0
11,526,20,28,1915,1834,9,2019.0,Static,MRHOF,0
12,251,17,321,617,560,4,772.0,Mobile,OF0,0
13,517,41,432,1854,1678,6,1984.0,Static,OF0,0
14,563,24,73,265,244,9,435.0,Static,MRHOF,0
3,279,20,474,652,599,3,759.0,Static,MRHOF,0
16,463,34,405,1958,1825,9,2030.0,Static,MRHOF,0
5,492,36,58,607,606,3,671.0,Mobile,OF0,0
6,128,22,434,659,639,7,680.0,Static,OF0,0
7,333,1,368,400,397,6,448.0,Mobile,MRHOF,0
20,469,9,236,145,136,5,320.0,Static,MRHOF,0
9,103,35,243,1630,1546,8,1785.0,Mobile,OF0,0
10,122,27,409,1014,923,0,1056.0,Mobile,MRHOF,0
2,542,40,38,468,446,3,,Mobile,OF0,0
3,118,43,431,901,862,1,1095.0,Static,MRHOF,0
4,387,30,303,1626,1489,1,1663.0,Static,MRHOF,0
2,638,46,386,969,905,6,1088.0,Mobile,MRHOF,0
6,539,17,72,608,603,8,646.0,Mobile,MRHOF,0
7,598,9,337,667,609,4,668.0,Mobile,MRHOF,0
8,791,40,419,1749,1643,4,1827.0,Static,MRHOF,0
9,561,11,185,1308,1305,5,1442.0,Mobile,MRHOF,0
10,256,1,310,1126,1049,5,1246.0,Mobile,OF0,0
11,694,49,201,959,939,1,1157.0,Mobile,MRHOF,0
9,118,1,195,239,230,6,391.0,Static,OF0,0
13,202,45,310,1937,1906,6,2032.0,Static,OF0,0
11,411,39,335,196,180,4,256.0,Mobile,OF0,0
12,88,22,424,729,725,9,815.0,Static,MRHOF,0
